StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q31_1,Q48_1,Q35_1,Q45_1,Q34_1,Q41,Q36,Q37,Q38,Q39,Q17,Q19,Q21,Q23,Q25,Q7,Q9,Q11,Q13,Q15,Q27,Q29,Q31,Q33,Q35,Q37,Q39,Q41,Q43,Q45,Q47,mTurkCode,photo_block,obama_photo,policy
2019-12-18 15:17:04,2019-12-18 15:18:39,IP Address,*******,100,95,True,2019-12-18 15:18:40,R_2fuR5vxdxBHwLbX,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,73,,,83,green,,,pretty good idea,,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Slightly liberal,Strong Democrat,Graduate school or other advanced degree,White,Bisexual,Man,"$70,000 - $99,999",2362002,0,1,2
2019-12-18 15:17:02,2019-12-18 15:18:43,IP Address,*******,100,100,True,2019-12-18 15:18:43,R_3PoEUwH48necoh8,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,78,,,,86,green,,pretty good idea,,,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Liberal,Strong Democrat,Four year college degree,White,Heterosexual,Man,"$70,000 - $99,999",9400429,0,0,1
2019-12-18 15:17:53,2019-12-18 15:18:44,IP Address,*******,100,50,True,2019-12-18 15:18:45,R_YS0W3VjxbuvHSuJ,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,54,,,55,green,,,neither a good nor a bad idea,,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Extremely conservative,Independent (No partisan lean),Middle school/some high school,Hispanic or Latino,Queer,Woman,"Less than $30,000",4989282,0,1,2
2019-12-18 15:16:47,2019-12-18 15:18:44,IP Address,*******,100,117,True,2019-12-18 15:18:45,R_1NxBCKgLsGfaLFV,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,10,,,,21,green,,very good idea,,,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Slightly conservative,Independent (No partisan lean),Some college,Black or African American,Heterosexual,Man,"Less than $30,000",8440049,0,0,1
2019-12-18 15:18:02,2019-12-18 15:18:49,IP Address,*******,100,46,True,2019-12-18 15:18:49,R_3F3yVxCn3J1bm7v,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,74,,,73,green,pretty good idea,,,,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Moderate or middle of the road,Independent (Lean Democrat),Some college,Asian,Heterosexual,Man,"$70,000 - $99,999",3345041,0,1,0
2019-12-18 15:16:52,2019-12-18 15:18:50,IP Address,*******,100,118,True,2019-12-18 15:18:50,R_3HHRK7X5ymSXlhm,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,71,,,92,green,,pretty bad idea,,,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Slightly liberal,Independent (Lean Democrat),High school diploma,White,Gay or Lesbian,Woman,"$30,000 - $69,999",5136723,0,1,1
2019-12-18 15:16:43,2019-12-18 15:18:51,IP Address,*******,100,128,True,2019-12-18 15:18:51,R_1FPr9Katiho5oNZ,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,50,,,,77,green,,,,pretty bad idea,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Extremely conservative,Independent (No partisan lean),Four year college degree,White,Heterosexual,Man,"$100,000 - $200,000",4358594,0,0,3
2019-12-18 15:17:27,2019-12-18 15:18:52,IP Address,*******,100,85,True,2019-12-18 15:18:53,R_8BsJOmbp8nV0USZ,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,37,50,green,very good idea,,,,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Moderate or middle of the road,Independent (No partisan lean),Four year college degree,Black or African American,Heterosexual,Man,"$70,000 - $99,999",5361961,1,1,0
2019-12-18 15:17:00,2019-12-18 15:18:54,IP Address,*******,100,114,True,2019-12-18 15:18:54,R_2TXEF4prnYfg0uS,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,39,35,green,,,very good idea,,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Extremely liberal,Strong Democrat,Four year college degree,White,Heterosexual,Man,"Less than $30,000",4601761,1,1,2
2019-12-18 15:17:20,2019-12-18 15:18:59,IP Address,*******,100,98,True,2019-12-18 15:18:59,R_21u10l2YztPmPwY,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,68,61,green,,,,very good idea,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Moderate or middle of the road,Weak Democrat,Graduate school or other advanced degree,White,Heterosexual,Woman,"$70,000 - $99,999",6098459,1,1,3
2019-12-18 15:17:09,2019-12-18 15:19:02,IP Address,*******,100,112,True,2019-12-18 15:19:02,R_3q7ijj7Na5zGpH8,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,31,60,green,,very good idea,,,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Extremely liberal,Strong Democrat,Some college,White,Heterosexual,Man,"$30,000 - $69,999",7108628,1,1,1
2019-12-18 15:17:03,2019-12-18 15:19:03,IP Address,*******,100,120,True,2019-12-18 15:19:03,R_3JC79pUAYGPKYMu,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,62,100,green,,pretty good idea,,,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Liberal,Weak Democrat,Four year college degree,White,Heterosexual,Woman,"$30,000 - $69,999",3922213,1,1,1
2019-12-18 15:16:51,2019-12-18 15:19:07,IP Address,*******,100,136,True,2019-12-18 15:19:08,R_3q7I2f0lEYKPhoJ,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,1,,,,1,green,,,neither a good nor a bad idea,,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Slightly conservative,Independent (Lean Republican),High school diploma,White,Heterosexual,Man,"Less than $30,000",1523858,0,0,2
2019-12-18 15:17:30,2019-12-18 15:19:13,IP Address,*******,100,103,True,2019-12-18 15:19:13,R_2CDpLi8ebqkAKG5,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,0,,0,green,,very bad idea,,,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Extremely conservative,Strong Republican,Graduate school or other advanced degree,White,Heterosexual,Woman,"$30,000 - $69,999",7908287,1,0,1
2019-12-18 15:17:22,2019-12-18 15:19:13,IP Address,*******,100,111,True,2019-12-18 15:19:13,R_323f23HPyBMz7WW,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,0,,98,green,pretty good idea,,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Slightly conservative,Weak Republican,Graduate school or other advanced degree,White,Heterosexual,Woman,"Greater than $200,000",9673495,1,0,0
2019-12-18 15:17:00,2019-12-18 15:19:14,IP Address,*******,100,133,True,2019-12-18 15:19:14,R_3dQzu78Lvgb9v16,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,32,70,green,,,pretty bad idea,,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Slightly liberal,Independent (Lean Democrat),High school diploma,White,Heterosexual,Man,"$30,000 - $69,999",9708894,1,1,2
2019-12-18 15:17:23,2019-12-18 15:19:15,IP Address,*******,100,111,True,2019-12-18 15:19:15,R_2S77ogGbRta1LGH,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,56,,,47,green,,,pretty good idea,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Slightly conservative,Independent (Lean Republican),Some college,White,Heterosexual,Man,"Less than $30,000",2843369,0,1,2
2019-12-18 15:17:18,2019-12-18 15:19:16,IP Address,*******,100,117,True,2019-12-18 15:19:16,R_12Sid9VK7j4jjkA,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,57,,46,green,,,pretty bad idea,,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Liberal,Weak Democrat,Some college,White,Heterosexual,Man,"$70,000 - $99,999",5667631,1,0,2
2019-12-18 15:16:56,2019-12-18 15:19:17,IP Address,*******,100,140,True,2019-12-18 15:19:17,R_2rvHDboMW2Za0D5,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,35,,,,30,green,,very good idea,,,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Moderate or middle of the road,Weak Democrat,Some college,White,Heterosexual,Woman,"$30,000 - $69,999",2531075,0,0,1
2019-12-18 15:16:50,2019-12-18 15:19:17,IP Address,*******,100,147,True,2019-12-18 15:19:17,R_2PhUrwNNAkhjy7O,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,0,,61,green,,very good idea,,,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Moderate or middle of the road,Independent (No partisan lean),Some college,White,Heterosexual,Man,"$30,000 - $69,999",4757105,1,0,1
2019-12-18 15:16:55,2019-12-18 15:19:18,IP Address,*******,100,142,True,2019-12-18 15:19:18,R_1r2EJY6mrjSBCIk,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,70,,91,green,,,,pretty good idea,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Liberal,Independent (Lean Democrat),Some college,White,Heterosexual,Woman,"Less than $30,000",7912917,1,0,3
2019-12-18 15:16:49,2019-12-18 15:19:19,IP Address,*******,100,149,True,2019-12-18 15:19:19,R_2TIdb6fAVH7TsHM,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,10,,,20,green,very good idea,,,,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Slightly liberal,Independent (Lean Democrat),Some college,White,Heterosexual,Man,"$30,000 - $69,999",6602180,0,1,0
2019-12-18 15:17:28,2019-12-18 15:19:20,IP Address,*******,100,111,True,2019-12-18 15:19:20,R_ub7bAjQLir4Y4lX,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,10,20,green,,,,pretty good idea,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Moderate or middle of the road,Independent (Lean Republican),Four year college degree,White,Bisexual,Man,"$100,000 - $200,000",7007096,1,1,3
2019-12-18 15:17:25,2019-12-18 15:19:21,IP Address,*******,100,115,True,2019-12-18 15:19:22,R_2WCo7zgGCtytbRc,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,69,,,,79,green,,very good idea,,,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Slightly liberal,Strong Democrat,Four year college degree,Asian,Bisexual,Man,"$30,000 - $69,999",5853046,0,0,1
2019-12-18 15:18:09,2019-12-18 15:19:22,IP Address,*******,100,73,True,2019-12-18 15:19:23,R_3j7gWO2mmQODsmE,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,50,,,,36,green,pretty good idea,,,,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Liberal,Independent (No partisan lean),Four year college degree,White,Queer,Intersex,"$30,000 - $69,999",3787185,0,0,0
